ticker,name,exchange,assetType
000622,SHE,US,STOCK
000623,SHE,US,STOCK
000625,SHE,US,STOCK
000626,SHE,US,STOCK
000627,SHE,US,STOCK
000628,SHE,US,STOCK
000629,SHE,US,STOCK
000630,SHE,US,STOCK
000631,SHE,US,STOCK
000632,SHE,US,STOCK
000633,SHE,US,STOCK
000635,SHE,US,STOCK
000636,SHE,US,STOCK
000637,SHE,US,STOCK
000638,SHE,US,STOCK
000639,SHE,US,STOCK
000650,SHE,US,STOCK
000651,SHE,US,STOCK
000652,SHE,US,STOCK
000653,SHE,US,STOCK
000655,SHE,US,STOCK
000656,SHE,US,STOCK
000657,SHE,US,STOCK
000658,SHE,US,STOCK
000659,SHE,US,STOCK
000660,SHE,US,STOCK
000661,SHE,US,STOCK
000662,SHE,US,STOCK
000663,SHE,US,STOCK
000665,SHE,US,STOCK
000666,SHE,US,STOCK
000667,SHE,US,STOCK
000668,SHE,US,STOCK
000669,SHE,US,STOCK
000670,SHE,US,STOCK
000671,SHE,US,STOCK
000672,SHE,US,STOCK
000673,SHE,US,STOCK
000675,SHE,US,STOCK
000676,SHE,US,STOCK
000677,SHE,US,STOCK
000678,SHE,US,STOCK
000679,SHE,US,STOCK
000680,SHE,US,STOCK
000681,SHE,US,STOCK
000682,SHE,US,STOCK
000683,SHE,US,STOCK
000685,SHE,US,STOCK
000686,SHE,US,STOCK
000687,SHE,US,STOCK
000688,SHE,US,STOCK
000689,SHE,US,STOCK
000690,SHE,US,STOCK
000691,SHE,US,STOCK
000692,SHE,US,STOCK
000693,SHE,US,STOCK
000695,SHE,US,STOCK
000697,SHE,US,STOCK
000698,SHE,US,STOCK
000699,SHE,US,STOCK
000700,SHE,US,STOCK
000701,SHE,US,STOCK
000702,SHE,US,STOCK
000703,SHE,US,STOCK
000705,SHE,US,STOCK
000707,SHE,US,STOCK
000708,SHE,US,STOCK
000709,SHE,US,STOCK
000710,SHE,US,STOCK
000711,SHE,US,STOCK
000712,SHE,US,STOCK
000713,SHE,US,STOCK
000715,SHE,US,STOCK
000716,SHE,US,STOCK
000717,SHE,US,STOCK
000718,SHE,US,STOCK
000719,SHE,US,STOCK
000720,SHE,US,STOCK
000721,SHE,US,STOCK
000722,SHE,US,STOCK
000723,SHE,US,STOCK
000725,SHE,US,STOCK
000726,SHE,US,STOCK
000727,SHE,US,STOCK
000728,SHE,US,STOCK
000729,SHE,US,STOCK
000730,SHE,US,STOCK
000731,SHE,US,STOCK
000732,SHE,US,STOCK
000733,SHE,US,STOCK
000735,SHE,US,STOCK
000736,SHE,US,STOCK
000737,SHE,US,STOCK
000738,SHE,US,STOCK
000739,SHE,US,STOCK
000748,SHE,US,STOCK
000750,SHE,US,STOCK
000751,SHE,US,STOCK
000752,SHE,US,STOCK
000753,SHE,US,STOCK
000755,SHE,US,STOCK
000756,SHE,US,STOCK
000757,SHE,US,STOCK
000758,SHE,US,STOCK
000759,SHE,US,STOCK
000760,SHE,US,STOCK
000761,SHE,US,STOCK
000762,SHE,US,STOCK
000763,SHE,US,STOCK
000765,SHE,US,STOCK
000766,SHE,US,STOCK
000767,SHE,US,STOCK
000768,SHE,US,STOCK
000769,SHE,US,STOCK
000776,SHE,US,STOCK
000777,SHE,US,STOCK
000778,SHE,US,STOCK
000779,SHE,US,STOCK
000780,SHE,US,STOCK
000782,SHE,US,STOCK
000783,SHE,US,STOCK
000785,SHE,US,STOCK
000786,SHE,US,STOCK
000787,SHE,US,STOCK
000788,SHE,US,STOCK
000789,SHE,US,STOCK
000790,SHE,US,STOCK
000791,SHE,US,STOCK
000792,SHE,US,STOCK
000793,SHE,US,STOCK
000795,SHE,US,STOCK
000796,SHE,US,STOCK
000797,SHE,US,STOCK
000798,SHE,US,STOCK
000799,SHE,US,STOCK
000800,SHE,US,STOCK
000801,SHE,US,STOCK
000802,SHE,US,STOCK
000803,SHE,US,STOCK
000805,SHE,US,STOCK
000806,SHE,US,STOCK
000807,SHE,US,STOCK
000809,SHE,US,STOCK
000810,SHE,US,STOCK
000811,SHE,US,STOCK
000812,SHE,US,STOCK
000813,SHE,US,STOCK
000815,SHE,US,STOCK
000816,SHE,US,STOCK
000817,SHE,US,STOCK
000818,SHE,US,STOCK
000819,SHE,US,STOCK
000820,SHE,US,STOCK
000821,SHE,US,STOCK
000822,SHE,US,STOCK
000823,SHE,US,STOCK
000825,SHE,US,STOCK
000826,SHE,US,STOCK
000827,SHE,US,STOCK
000828,SHE,US,STOCK
000829,SHE,US,STOCK
000830,SHE,US,STOCK
000831,SHE,US,STOCK
000832,SHE,US,STOCK
000833,SHE,US,STOCK
000835,SHE,US,STOCK
000836,SHE,US,STOCK
000837,SHE,US,STOCK
000838,SHE,US,STOCK
000839,SHE,US,STOCK
000848,SHE,US,STOCK
000850,SHE,US,STOCK
000851,SHE,US,STOCK
000852,SHE,US,STOCK
000856,SHE,US,STOCK
000858,SHE,US,STOCK
000859,SHE,US,STOCK
000860,SHE,US,STOCK
000861,SHE,US,STOCK
000862,SHE,US,STOCK
000863,SHE,US,STOCK
000866,SHE,US,STOCK
000868,SHE,US,STOCK
000869,SHE,US,STOCK
000875,SHE,US,STOCK
000876,SHE,US,STOCK
000877,SHE,US,STOCK
000878,SHE,US,STOCK
000880,SHE,US,STOCK
000881,SHE,US,STOCK
000882,SHE,US,STOCK
000883,SHE,US,STOCK
000885,SHE,US,STOCK
000886,SHE,US,STOCK
000887,SHE,US,STOCK
000888,SHE,US,STOCK
000889,SHE,US,STOCK
000890,SHE,US,STOCK
000892,SHE,US,STOCK
000893,SHE,US,STOCK
000895,SHE,US,STOCK
000897,SHE,US,STOCK
000898,SHE,US,STOCK
000899,SHE,US,STOCK
000900,SHE,US,STOCK
000901,SHE,US,STOCK
000902,SHE,US,STOCK
000903,SHE,US,STOCK
000905,SHE,US,STOCK
000906,SHE,US,STOCK
000908,SHE,US,STOCK
000909,SHE,US,STOCK
000910,SHE,US,STOCK
000911,SHE,US,STOCK
000912,SHE,US,STOCK
000913,SHE,US,STOCK
000915,SHE,US,STOCK
000916,SHE,US,STOCK
000917,SHE,US,STOCK
000918,SHE,US,STOCK
000919,SHE,US,STOCK
000920,SHE,US,STOCK
000921,SHE,US,STOCK
000922,SHE,US,STOCK
000923,SHE,US,STOCK
000925,SHE,US,STOCK
000926,SHE,US,STOCK
000927,SHE,US,STOCK
000928,SHE,US,STOCK
000929,SHE,US,STOCK
000930,SHE,US,STOCK
000931,SHE,US,STOCK
000932,SHE,US,STOCK
000933,SHE,US,STOCK
000935,SHE,US,STOCK
000936,SHE,US,STOCK
000937,SHE,US,STOCK
000938,SHE,US,STOCK
000939,SHE,US,STOCK
000948,SHE,US,STOCK
000949,SHE,US,STOCK
000950,SHE,US,STOCK
000951,SHE,US,STOCK
000952,SHE,US,STOCK
000953,SHE,US,STOCK
000955,SHE,US,STOCK
000956,SHE,US,STOCK
000957,SHE,US,STOCK
000958,SHE,US,STOCK
000959,SHE,US,STOCK
000960,SHE,US,STOCK
000961,SHE,US,STOCK
000962,SHE,US,STOCK
000963,SHE,US,STOCK
000965,SHE,US,STOCK
000966,SHE,US,STOCK
000967,SHE,US,STOCK
000968,SHE,US,STOCK
000969,SHE,US,STOCK
000970,SHE,US,STOCK
000971,SHE,US,STOCK
000972,SHE,US,STOCK
000973,SHE,US,STOCK
000975,SHE,US,STOCK
000976,SHE,US,STOCK
000977,SHE,US,STOCK
000978,SHE,US,STOCK
000979,SHE,US,STOCK
000980,SHE,US,STOCK
000981,SHE,US,STOCK
000982,SHE,US,STOCK
000983,SHE,US,STOCK
000985,SHE,US,STOCK
000987,SHE,US,STOCK
000988,SHE,US,STOCK
000989,SHE,US,STOCK
000990,SHE,US,STOCK
000991,SHE,US,STOCK
000993,SHE,US,STOCK
000995,SHE,US,STOCK
000996,SHE,US,STOCK
000997,SHE,US,STOCK
000998,SHE,US,STOCK
000999,SHE,US,STOCK
001201,SHE,US,STOCK
001202,SHE,US,STOCK
001203,SHE,US,STOCK
001205,SHE,US,STOCK
001206,SHE,US,STOCK
001207,SHE,US,STOCK
001208,SHE,US,STOCK
001209,SHE,US,STOCK
001210,SHE,US,STOCK
001211,SHE,US,STOCK
001212,SHE,US,STOCK
001213,SHE,US,STOCK
001215,SHE,US,STOCK
001216,SHE,US,STOCK
001217,SHE,US,STOCK
001218,SHE,US,STOCK
001219,SHE,US,STOCK
001222,SHE,US,STOCK
001223,SHE,US,STOCK
001225,SHE,US,STOCK
001226,SHE,US,STOCK
001227,SHE,US,STOCK
001228,SHE,US,STOCK
001229,SHE,US,STOCK
001230,SHE,US,STOCK
001231,SHE,US,STOCK
001234,SHE,US,STOCK
001236,SHE,US,STOCK
001238,SHE,US,STOCK
001239,SHE,US,STOCK
001255,SHE,US,STOCK
001256,SHE,US,STOCK
001258,SHE,US,STOCK
001259,SHE,US,STOCK
001260,SHE,US,STOCK
001266,SHE,US,STOCK
001267,SHE,US,STOCK
001268,SHE,US,STOCK
001269,SHE,US,STOCK
001270,SHE,US,STOCK
001278,SHE,US,STOCK
001282,SHE,US,STOCK
001283,SHE,US,STOCK
001286,SHE,US,STOCK
001287,SHE,US,STOCK
001288,SHE,US,STOCK
001289,SHE,US,STOCK
